이름,소속 광역자치단체,형태,면적(km2),인구(명),,,,,,,
중구,울산광역시,자치구,37,"230,301",,,,,,,
강화군,인천광역시,군,411.43,"68,940",,,,,,,
계양구,인천광역시,자치구,45.57,"310,533",,,,,,,
남동구,인천광역시,자치구,57.05,"535,628",,,,,,,
동구,인천광역시,자치구,7.19,"65,705",,,,,,,
미추홀구,인천광역시,자치구,24.84,"415,692",,,,,,,
부평구,인천광역시,자치구,32,"522,310",,,,,,,
서구,인천광역시,자치구,116.9,"540,595",,,,,,,
연수구,인천광역시,자치구,54.95,"350,438",,,,,,,
옹진군,인천광역시,군,172.48,"20,890",,,,,,,
중구,인천광역시,자치구,140.19,"125,332",,,,,,,
강진군,전라남도,군,500.95,"35,886",,,,,,,
고흥군,전라남도,군,807.35,"65,745",,,,,,,
곡성군,전라남도,군,547.47,"29,462",,,,,,,
광양시,전라남도,자치시,463.13,"152,737",,,,,,,
구례군,전라남도,군,443.25,"26,634",,,,,,,
나주시,전라남도,자치시,608.4,"114,460",,,,,,,
담양군,전라남도,군,455.09,"46,699",,,,,,,
목포시,전라남도,자치시,51.64,"231,531",,,,,,,
무안군,전라남도,군,449.74,"81,881",,,,,,,
보성군,전라남도,군,663.77,"42,582",,,,,,,
순천시,전라남도,자치시,910.98,"280,393",,,,,,,
신안군,전라남도,군,655.78,"41,076",,,,,,,
여수시,전라남도,자치시,510.09,"282,813",,,,,,,
영광군,전라남도,군,475.01,"54,037",,,,,,,
영암군,전라남도,군,604.24,"54,472",,,,,,,
완도군,전라남도,군,396.44,"51,296",,,,,,,
장성군,전라남도,군,518.44,"45,692",,,,,,,
장흥군,전라남도,군,622.47,"39,091",,,,,,,
진도군,전라남도,군,440.12,"31,103",,,,,,,
함평군,전라남도,군,392.1,"33,233",,,,,,,
해남군,전라남도,군,"1,015.43","71,432",,,,,,,
화순군,전라남도,군,786.9,"63,607",,,,,,,
고창군,전라북도,군,607.85,"56,801",,,,,,,
군산시,전라북도,자치시,396.17,"272,229",,,,,,,
김제시,전라북도,자치시,545.87,"85,024",,,,,,,
남원시,전라북도,자치시,752.21,"82,321",,,,,,,
무주군,전라북도,군,631.85,"24,503",,,,,,,
부안군,전라북도,군,493.53,"54,125",,,,,,,
순창군,전라북도,군,495.97,"29,026",,,,,,,
완주군,전라북도,군,820.98,"93,861",,,,,,,
익산시,전라북도,자치시,506.54,"292,066",,,,,,,
임실군,전라북도,군,597.34,"28,875",,,,,,,
장수군,전라북도,군,533.26,"22,954",,,,,,,
전주시,전라북도,특례시,205.53,"652,665",,,,,,,
정읍시,전라북도,자치시,692.86,"111,886",,,,,,,
진안군,전라북도,군,789.09,"25,891",,,,,,,
서귀포시,제주특별자치도,행정시,870.68,"181,216",,,,,,,
제주시,제주특별자치도,행정시,977.8,"486,306",,,,,,,
계룡시,충청남도,자치시,60.72,"43,484",,,,,,,
공주시,충청남도,자치시,864.19,"107,175",,,,,,,
금산군,충청남도,군,577.18,"53,064",,,,,,,
논산시,충청남도,자치시,554.75,"120,114",,,,,,,
당진시,충청남도,자치시,704.26,"167,580",,,,,,,
보령시,충청남도,자치시,573.78,"101,615",,,,,,,
부여군,충청남도,군,624.53,"67,806",,,,,,,
서산시,충청남도,자치시,741.21,"174,176",,,,,,,
서천군,충청남도,군,365.62,"53,660",,,,,,,
아산시,충청남도,자치시,542.24,"313,330",,,,,,,
예산군,충청남도,군,542.62,"79,935",,,,,,,
천안시,충청남도,특례시,636.07,"647,760",,,,,,,
청양군,충청남도,군,479.2,"31,848",,,,,,,
태안군,충청남도,군,515.78,"63,026",,,,,,,
홍성군,충청남도,군,443.99,"100,799",,,,,,,
괴산군,충청북도,군,842.19,"38,369",,,,,,,
단양군,충청북도,군,781.11,"30,159",,,,,,,
보은군,충청북도,군,584.3,"33,587",,,,,,,
영동군,충청북도,군,845.84,"49,215",,,,,,,
옥천군,충청북도,군,537.12,"51,332",,,,,,,
음성군,충청북도,군,520.26,"95,363",,,,,,,
제천시,충청북도,자치시,883.54,"134,992",,,,,,,
증평군,충청북도,군,81.81,"37,162",,,,,,,
진천군,충청북도,군,407.24,"79,172",,,,,,,
청주시,충청북도,특례시,940.33,"838,855",,,,,,,
충주시,충청북도,자치시,983.55,"210,662",,,,,,,
